,dim 1,dim 2,dim 3,dim 4,dim 5,dim 6,dim 7,dim 8,dim 9,dim 10,Element,Part,Time,MPa,Error_GRF,MechWork,ErrorAng,ErrorMom,QS,Energy Gen,Energy Abs,RoM,Experiment No.
45,8.362,13.429,11.212,11.371,13.271,10.262,2.029,15.804,1.396,3.613,5.0,30.0,27.0,2659.4543,0.027094686296532836,0.39836997963949583,1.4529843990309723,0.3381639369616141,0.8955741679962932,8.738449085725687,2.708333735766986,3.570684433000004,46.0
46,8.521,16.912,11.529,14.854,3.138,3.929,3.454,16.596,19.921,13.588,28.0,17.0,94.0,688.1791,0.020627578032217132,0.15883893378058755,1.5925937712963494,0.45930433699336964,1.0259490541448595,6.242293461483234,1.1841065556003125,5.300649642999996,47.0
47,15.962,1.396,3.454,7.096,16.596,12.954,5.354,2.188,10.104,6.938,2.0,6.0,108.0,1953.325,0.023484014515029895,2.5451953449393727,2.5115569876166477,2.885902111827228,2.698729549721938,9.290160412584225,3.3044385163866306,26.96553111123,48.0
48,1.238,7.413,10.421,6.779,7.888,1.554,18.971,12.638,19.604,5.354,2.0,3.0,92.0,2427.3911,0.01208250985442577,0.0,1.907809473655515,0.9976263978784752,1.452717935766995,15.478012604745823,5.919397216683825,41.431539788849996,49.0
49,7.254,3.296,8.204,16.754,10.262,12.004,9.312,1.712,16.121,10.737,5.0,5.0,95.0,1607.1338,0.03106311602153471,6.346924014696719,1.6827508540747522,0.7080673317411098,1.195409092907931,9.443686861401291,3.665525800126221,18.9747085572,50.0
50,17.388,11.529,4.721,14.221,18.179,17.862,7.571,17.071,15.962,9.946,10.0,9.0,91.0,787.3536,0.040501636750787655,1.0703467773689375,1.5971779477080834,0.4762815899353947,1.036729768821739,7.729258959364219,1.6380564366491235,8.449914932000002,51.0
51,1.396,11.371,8.362,19.762,8.046,5.671,9.629,4.879,12.638,6.146,2.0,3.0,100.0,2181.5608,0.01857870508873456,0.0,2.2508308860987367,0.9976263949138532,1.624228640506295,14.319602371971147,5.0461172462845045,43.41279166973,52.0
52,19.288,8.362,8.521,11.846,10.104,17.704,6.621,16.438,12.004,13.112,3.0,5.0,92.0,271.6042,0.029659934606600435,0.43860322319515366,1.4701124976113167,0.44829685294090155,0.9592046752761091,6.094842238417496,0.7581177441362554,2.7521858219999977,53.0
53,10.104,5.987,13.429,18.971,15.013,7.413,6.779,16.121,10.421,10.104,2.0,5.0,94.0,502.952,0.02893691287534257,0.7681913767136049,1.3810866863410607,0.4105119622198059,0.8957993242804333,6.550583480196085,1.0440913681837165,4.290918350999998,54.0
54,1.712,5.829,3.613,19.446,4.087,7.571,15.804,3.296,17.388,18.021,2.0,3.0,100.0,1677.6344,0.019507225867087453,0.0,2.588019991754278,0.9976264097344486,1.7928232007443632,12.258486752335115,4.067664918533033,47.03996425087,55.0
